Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
SN7.x-A[101-250]-SP1Y;Средства защиты информации Secret Net 7. Клиент (автономный режим работы). Включена ТП уровня Базовый, срок 1 год *SN7.x-A[101-250]-SP1Y;0;0;;;6545;;;Код Безопасности;secret net 7–софт право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.00;0,00
SN7.x-A[51-100]-SP1Y;Средства защиты информации Secret Net 7. Клиент (автономный режим работы). Включена ТП уровня Базовый, срок 1 год *SN7.x-A[51-100]-SP1Y;0;0;;;7095;;;Код Безопасности;secret net 7–софт право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.00;0,00
SN7.x-N-SSB;Средства защиты информации Secret Net 7. Сервер безопасности класса B;0;0;;;85845;;Нет гарантии;Код Безопасности;secret net 7–софт право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.01;0,07
Категория - 17. Решения информационной безопасности->Код Безопасности->Secret Net->secret net LSP–SOFT право;;;;;;;;;;;;;
SNLSP.x-A;Средства защиты информации Secret Net LSP.;0;0;;;6208;;Нет гарантии;Код Безопасности;secret net LSP–SOFT право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.01;0,07
SNLSP.x-A[101-250]-SP1Y;Право на использование Средства защиты информации Secret Net LSP. Включена ТП уровня Базовый, срок 1 год *SNLSP.x-A[101-250]-SP1Y;0;0;;;6545;;;Код Безопасности;secret net LSP–SOFT право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.00;0,00
SNLSP.x-A[51-100]-SP1Y;Право на использование Средства защиты информации Secret Net LSP. Включена ТП уровня Базовый, срок 1 год *SNLSP.x-A[51-100]-SP1Y;0;0;;;7095;;;Код Безопасности;secret net LSP–SOFT право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.00;0,00
SNLSP.x-A[>250]-SP1Y;Право на использование Средства защиты информации Secret Net LSP. Включена ТП уровня Базовый, срок 1 год *SNLSP.x-A[>250]-SP1Y;0;0;;;5665;;;Код Безопасности;secret net LSP–SOFT право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.00;0,00
SNLSP.x-A[1-50]-SP1Y;Право на использование Средства защиты информации Secret Net LSP. Включена ТП уровня Базовый, срок 1 год *SNLSP.x-A[1-50]-SP1Y;0 *;0;;;7425;;;Код Безопасности;secret net LSP–SOFT право;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.01;0,07
Категория - 17. Решения информационной безопасности->Код Безопасности->Secret Net->secret net LSP–дистрибутивы товар;;;;;;;;;;;;;
SNLSP.x-Disk-A;Установочный комплект. Средство защиты информации Secret Net LSP.;0 *;0;;;242.5;;Нет гарантии;Код Безопасности;secret net LSP–дистрибутивы товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.10;0,45
Категория - 17. Решения информационной безопасности->Код Безопасности->Secret Net->аппаратная поддержка товар;;;;;;;;;;;;;
kb-SNC-PCI-E-96;Secret Net Card (плата PCI-Express) - комплект с DS 1996;0;0;;;5730;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.20;1,33
kb-SNC-PCI-E-95;Secret Net Card (плата PCI-Express) - комплект с DS 1995;много;много;;;5390;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.20;1,33
kb-SNC-PCI-95;Secret Net Card (плата PCI) - комплект с DS 1995;мало;мало;;;4930;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.10;1,35
kb-SNC-PCI-92;Secret Net Card (плата PCI) - комплект с DS 1992;много;много;;;4180;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.10;1,35
kb-SNC-PCI;Secret Net Card (плата PCI);много;много;;;3150;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.20;1,35
kb-SNC-PCI-E-96-SP1Y;Secret Net Card (плата PCI Express) - комплект с DS1996. Включена ТП уровня Базовый, срок 1 год *kb-SNC-PCI-E-96-SP1Y;0;0;;;6550;;;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.20;0,78
kb-SNC-PCI-E-92;Secret Net Card (плата PCI-Express) - комплект с DS 1992;много;много;;;4640;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.10;1,35
kb-SNC-PCI-E;Secret Net Card (плата PCI-Express);много;много;;;3610;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.10;1,35
kb-SNC-PCI-96;Secret Net Card (плата PCI) - комплект с DS 1996;0;0;;;5270;;1 год;Код Безопасности;аппаратная поддержка товар;17. Решения информационной безопасности -> Код Безопасности -> Secret Net;0.10;1,35
Категория - 17. Решения информационной безопасности->Код Безопасности->Security Studio Suite (SSEP)->Security Studio Suite (SSEP) C антивирусом_Дистрибутивы товар;;;;;;;;;;;;;
SSEP-7.6-Disk;Установочный комплект Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS*SSEP-7.6-Disk;много;много;;;250;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Дистрибутивы товар;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.10;0,10
Категория - 17. Решения информационной безопасности->Код Безопасности->Security Studio Suite (SSEP)->Security Studio Suite (SSEP) C антивирусом_Софт право;;;;;;;;;;;;;
SSEP-7.x-IS[1-50];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS.*SSEP-7.x-IS[1-50];0 *;0;;;2600;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.x-IS[51-100];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS.*SSEP-7.x-IS[51-100];0;0;;;2450;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-IS[251-1000];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS.*SSEP-7.x-IS[251-1000];0;0;;;2210;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x[101-250];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. *SSEP-7.x[101-250];0;0;;;2600;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.x-SUB[51-100];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS.  Subscription.;0;0;;;1500;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-SUB[251-1000];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS.  Subscription.;0;0;;;1360;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP7.6[1-50]-RN30;Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal;0;0;;;2030;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.6[101-250]-RN30;Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal*SSEP-7.6[101-250]-RN30;0;0;;;1820;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.7[51-100]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7[51-100]-RN30;0;0;;;1925;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-IS[101-250];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS.*SSEP-7.x-IS[101-250];0;0;;;2330;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.x[1-50];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS;0 *;0;;;2900;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.x[251-1000];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. *SSEP-7.x[251-1000];0;0;;;2450;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-SUB[101-250];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS.  Subscription.;0;0;;;1430;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-SUB[1-50];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS.  Subscription.;0 *;0;;;1600;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.7[101-250]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7[101-250]-RN30;0;0;;;1820;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x[51-100];Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. *SSEP-7.x[51-100];0;0;;;2750;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.6[51-100]-RN30;Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal*SSEP-7.6[51-100]-RN30;0;0;;;1925;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.6[251-1000]-RN30;Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal*SSEP-7.6[251-1000]-RN30;0;0;;;1715;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.7[251-1000]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7[251-1000]-RN30;0;0;;;1715;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP7.7[1-50]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Antivirus, Personal Firewall, HIPS. ПО-Renewal. *SSEP7.7[1-50]-RN30;0;0;;;2030;;;Код Безопасности;Security Studio Suite (SSEP) C антивирусом_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
Категория - 17. Решения информационной безопасности->Код Безопасности->Security Studio Suite (SSEP)->Security Studio Suite (SSEP) Без антивируса_Софт право;;;;;;;;;;;;;
SSEP-7.x-IS-SUB[1-50];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. Subscription.;0;0;;;1250;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.x-IS[101-250]-RN30;Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal*SSEP-7.x-IS[101-250]-RN30;0;0;;;1630;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.6-IS[251-1000]-RN30;Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal*SSEP-7.6-IS[251-1000]-RN30;0;0;;;1545;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.6-IS[1-50]-RN30;Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal;0;0;;;1820;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.01;0,07
SSEP-7.7-IS[101-250]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7-IS[101-250]-RN30;0;0;;;1630;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.7-IS[251-1000]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7-IS[251-1000]-RN30;0;0;;;1545;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-IS-SUB[51-100];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. Subscription.;0;0;;;1150;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-IS-SUB[101-250];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. Subscription.;0;0;;;1090;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.x-IS-SUB[251-1000];Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. Subscription.;0;0;;;1040;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.6-IS[51-100]-RN30;Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal*SSEP-7.6-IS[51-100]-RN30;0;0;;;1715;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.7-IS[1-50]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7-IS[1-50]-RN30;0;0;;;1820;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
SSEP-7.7-IS[51-100]-RN30;Право на использование Средств защиты информации Security Studio Endpoint Protection: Personal Firewall, HIPS. ПО-Renewal. *SSEP-7.7-IS[51-100]-RN30;0;0;;;1715;;;Код Безопасности;Security Studio Suite (SSEP) Без антивируса_Софт право;17. Решения информационной безопасности -> Код Безопасности -> Security Studio Suite (SSEP);0.00;0,00
Категория - 17. Решения информационной безопасности->Код Безопасности->TrustAccess->TrustAccess Гостайна_Софт (обновление) право;;;;;;;;;;;;;
TA-1.3.1-N2-C[1-50]-RN30;TrustAccess-S для защиты 1 рабочей станци ПО-renewal*TA-1.3.1-N2-С[1-50]-RN30;0;0;;;5950;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-S[1-10]-RN30;TrustAccess-S для защиты 1 сервера ПО-renewal*TA-1.3.1-N2-S[1-10]-RN30;0;0;;;35000;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[11-25]-RN30;Право на использование TrustAccess-S для защиты 1 сервера ПО-renewal*TA-1.3-N2-S[11-25]-RN30;0;0;;;31500;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-C[51-125]-RN30;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal*TA-1.3-N2-С[51-125]-RN30;0;0;;;1995;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-C[>300]-RN30;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal*TA-1.3-N2-С[>300]-RN30;0;0;;;1785;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[1-10]-RN30;Право на использование TrustAccess-S для защиты 1 сервера ПО-renewal*TA-1.3-N2-S[1-10]-RN30;0;0;;;35000;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[1-10]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 сервера ПО-renewal. Включена ТП уровня Базовый, срок 1 год *TA-1.3-N2-S[1-10]-RN30-SP1Y;0;0;;;38500;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-С[126-300]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal. Включена ТП уровня Базовый, срок 1 год;0;0;;;2079;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-S[11-25]-RN30;TrustAccess-S для защиты 1 сервера ПО-renewal*TA-1.3.1-N2-S[11-25]-RN30;0;0;;;24500;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-C[51-125]-RN30;TrustAccess-S для защиты 1 рабочей станци ПО-renewal*TA-1.3.1-N2-С[51-125]-RN30;0;0;;;5180;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-C[126-300]-RN30;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal*TA-1.3-N2-С[126-300]-RN30;0;0;;;1890;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[>50]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 сервера ПО-renewal. Включена ТП уровня Базовый, срок 1 год *TA-1.3-N2-S[>50]-RN30-SP1Y;0;0;;;26950;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-S[26-50]-RN30;TrustAccess-S для защиты 1 сервера ПО-renewal*TA-1.3.1-N2-S[26-50]-RN30;0;0;;;21000;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-S[>50]-RN30;TrustAccess-S для защиты 1 сервера ПО-renewal*TA-1.3.1-N2-S[>50]-RN30;0;0;;;16100;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-C[126-300]-RN30;TrustAccess-S для защиты 1 рабочей станци ПО-renewal*TA-1.3.1-N2-С[126-300]-RN30;0;0;;;4340;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-C[>300]-RN30;TrustAccess-S для защиты 1 рабочей станци ПО-renewal*TA-1.3.1-N2-С[>300]-RN30;0;0;;;3710;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[26-50]-RN30;TrustAccess-S для защиты гостайны, на 1 сервер (от 26 до 50 шт.);0;0;;;28000;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-C[1-50]-RN30;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal*TA-1.3-N2-С[1-50]-RN30;0;0;;;2100;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[11-25]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 сервера ПО-renewal. Включена ТП уровня Базовый, срок 1 год *TA-1.3-N2-S[11-25]-RN30-SP1Y;0;0;;;34650;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[26-50]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 сервера ПО-renewal. Включена ТП уровня Базовый, срок 1 год *TA-1.3-N2-S[26-50]-RN30-SP1Y;0;0;;;30800;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-С[51-125]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal. Включена ТП уровня Базовый, срок 1 год;0;0;;;2195;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-С[>300]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal. Включена ТП уровня Базовый, срок 1 год;0;0;;;1964;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-С[1-50]-RN30-SP1Y;Право на использование TrustAccess-S для защиты 1 рабочей станции ПО-renewal. Включена ТП уровня Базовый, срок 1 год;0;0;;;2310;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[>50]-RN30;TrustAccess-S для защиты гостайны, на 1 сервер (более 50 шт.)*TA-1.3-N2-S[>50]-RN30;0;0;;;24500;;;Код Безопасности;TrustAccess Гостайна_Софт (обновление) право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
Категория - 17. Решения информационной безопасности->Код Безопасности->TrustAccess->TrustAccess Гостайна_Софт право;;;;;;;;;;;;;
TA-1.x-N4-C[51-125];TrustAccess для защиты 1 рабочей станции (от 51 до 125 шт.);0;0;;;2522;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.x-N2-S[1-25];TrustAccess-S для защиты 1 сервера (от 1 до 25 шт.);0;0;;;48500;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.x-N2-S[26-50];TrustAccess-S для защиты 1 сервера (от 26 до 50 шт.);0;0;;;33950;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.x-N2-С[51-125];TrustAccess для защиты 1 рабочей станции (от 51 до 125 шт.)*TA-1.x-N2-С[51-125];0;0;;;7178;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-S[11-25];TrustAccess-S для защиты 1 сервера*TA-1.3.1-N2-S[11-25];0;0;;;35000;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-S[>50];TrustAccess-S для защиты 1 сервера*TA-1.3.1-N2-S[>50];0;0;;;23000;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-C[1-50];TrustAccess-S для защиты 1 рабочей станци*TA-1.3.1-N2-С[1-50];0;0;;;8500;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.01;0,07
TA-1.3.1-N2-C[51-125];TrustAccess-S для защиты 1 рабочей станци*TA-1.3.1-N2-С[51-125];0;0;;;7400;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3.1-N2-C[126-300];TrustAccess-S для защиты 1 рабочей станци*TA-1.3.1-N2-С[126-300];0;0;;;6200;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[11-25];Право на использование TrustAccess-S для защиты 1 сервера*TA-1.3-N2-S[11-25];0;0;;;45000;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-C[51-125];Право на использование TrustAccess-S для защиты 1 рабочей станции*TA-1.3-N2-С[51-125];0;0;;;2850;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-C[126-300];Право на использование TrustAccess-S для защиты 1 рабочей станции*TA-1.3-N2-С[126-300];0;0;;;2700;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
TA-1.3-N2-S[>50];TrustAccess-S для защиты гостайны, на 1 сервер (более 50 шт.)*TA-1.3-N2-S[>50];0;0;;;35000;;;Код Безопасности;TrustAccess Гостайна_Софт право;17. Решения информационной безопасности -> Код Безопасности -> TrustAccess;0.00;0,00
