Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
XS712T-100NES;NETGEAR Managed Smart-switch with 10GBase-T+2SFP+/10GBase-T(Combo),with extended ACL/QoS and IPv6 support;1;много;;3061.58;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.10;17,96
FS728TLP-100EUS;NETGEAR Managed Smart-switch 24FE+2GE+2SFP(Combo) ports (12FE PoE ports), PoE budget up to 100W;много;много;;367.38;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.50;18,30
GS1900-48;ZyXEL GS1900-48 Интеллектуальный коммутатор Gigabit Ethernet с 48 разъемами RJ-45 и 2 SFP-слотами;2;много;;431;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.00;14,05
GS1900-24;ZyXEL GS1900-24 Интеллектуальный коммутатор Gigabit Ethernet с 24 разъемами RJ-45 и 2 SFP-слотами;0;много;;209;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.90;10,12
GS1900-8HP;ZyXEL GS1900-8HP Интеллектуальный High Power PoE-коммутатор (70W) Gigabit Ethernet с 8 разъемами RJ-45;1;много;;183;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;1.60;4,49
GS1900-8;ZyXEL GS1900-8 Интеллектуальный коммутатор Gigabit Ethernet с 8 разъемами RJ-45;0;много;;85.1;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;1.60;4,49
MES3500-24;ZyXEL 24-портовый управляемый коммутатор L2+ Metro Fast Ethernet с 4 портами Gigabit Ethernet совмещенными с SFP-слотами;0 *;0;;258;;;3 года;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.50;10,15
XGS1910-48;ZyXEL XGS1910-48 Интеллектуальный коммутатор Gigabit Ethernet с 48 разъемами RJ-45 из которых 4 совмещены с SFP-слотами и 4 слотами 10G SFP+;0;0;;1550;;;3 года;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.43;19,04
GS1920-48HP;Zyxel Интеллектуальный High Power PoE-коммутатор Gigabit Ethernet с 48 разъемами RJ-45 из которых 4 совмещены с SFP-слотами и 2 дополнительными SFP-слотами;1;1;;1036;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;6.20;26,10
GS1920-24HP;ZyXEL GS1920-24HP Интеллектуальный High Power PoE-коммутатор (375W) Gigabit Ethernet с 24 разъемами RJ-45 и 4 SFP-слотами совмещенными с разъемами RJ-45;0 *;много;;674;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.94;27,47
GS1920-24;ZyXEL GS1920-24 Интеллектуальный коммутатор Gigabit Ethernet с 24 разъемами RJ-45 и 4 SFP-слотами совмещенными с разъемами RJ-45;0;много;;277;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.30;9,86
GS1900-48HP;ZyXEL GS1900-48HP Интеллектуальный High Power PoE-коммутатор (170W) Gigabit Ethernet с 48 разъемами RJ-45 и 2 SFP-слотами;0;1;;768;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.30;26,10
GS1900-24E;ZyXEL GS1900-24E Интеллектуальный коммутатор Gigabit Ethernet с 24 разъемами RJ-45;1;много;;170;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.30;6,07
XGS1910-24;ZyXEL XGS1910-24 Интеллектуальный коммутатор Gigabit Ethernet с 24 разъемами RJ-45 из которых 4 совмещены с SFP-слотами и 2 слотами 10G SFP+;0;0;;832;;;3 года;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.00;16,50
