Всего позиций: 11584 ;;;;;;;;;;;
Артикул;Наименование;Производитель;Св.;Св.+Тр.;Б. Тр.;Цена*;Цена руб.**;Доп.;;;
Аксессуары и портативная электроника->Web-камеры;;;;;;;;;;;
Аксессуары и портативная электроника->Гарнитуры->Беспроводные гарнитуры;;;;;;;;;;;
4048-230-301;Wave;Jabra;1 ;1 ;;;2000;НЗС М;;;
9120-49-21;DG 9120-49-21 MIDI boom, GAP;Jabra;4 ;4 ;;;4000;НЗС М;;;
9130-01;Jabra GN9120 MicroBoom headset without base unit,;Jabra;3 ;3 ;;;4500;НЗС М;;;
930-25-509-101;Jabra PRO™ 930 USB;Jabra;4 ;4 ;;;6000;НЗС М;;;
930-25-503-101;Jabra PRO™ 930 USB MS OC/Lync;Jabra;5 ;5 ;;;6000;НЗС М;;;
920-25-508-101;Jabra Pro 920 - entry-level DECT headset with phone connectivity;Jabra;0 ;0 ;;;7500;НЗС М;;;
9460-25-707-101;GN 9460 Pro, Mono, DECT Wireless with BT link;Jabra;3 ;3 ;;;10000;НЗС М;;;
9465-29-804-101;PRO 9465 DUO;Jabra;1 ;1 ;;;12000;НЗС М;;;
Аксессуары и портативная электроника->Гарнитуры->Проводные гарнитуры;;;;;;;;;;;
1983-820-104;GN 1900 Mono NC;Jabra;3 ;3 ;;;1500;НЗС М;;;
1989-829-104;GN1900 USB Duo NC;Jabra;много ;много ;;;3000;НЗС М;;;
2399-829-109;BIZ 2300 Duo USB;Jabra;3 ;3 ;;;4000;НЗС М;;;
2019-82-04;GN 2000 Duo NC Flex Wideband;Jabra;6 ;6 ;;;4500;НЗС М;;;
2406-320-104;BIZ2400 3in1, STD, OMNI, Flex boom;Jabra;много ;много ;;;5000;НЗС М;;;
2406-820-104;BIZ2400 3in1, STD, NC, Flex boom;Jabra;много ;много ;;;5000;НЗС М;;;
2129-82-04;GN 2100 binaural, flex boom, NC, STD;Jabra;много ;много ;;;6000;НЗС М;;;
2409-820-104;BIZ2400 Duo, STD, NC, Flex boom;Jabra;2 ;2 ;;;6000;НЗС М;;;
Аксессуары и портативная электроника->Дополнительные полезные устройства;;;;;;;;;;;
7550-09;DIAL 550 USB телефон;Jabra;0* ;0 ;;;2000;НЗС М;;;
Аксессуары и портативная электроника->Клавиатуры;;;;;;;;;;;
920-002522;Logitech Keyboard K120, USB, black, [920-002522];LOGITECH;много ;много ;;7;;;;;
920-003200;Logitech Keyboard K100, PS/2, black, [920-003200];LOGITECH;много ;много ;;7.5;;;;;
6JH-00019;Microsoft Wired Keyboard 200, USB, Black [For Business];Microsoft;много ;много ;;;510;;;;
JWD-00002;Microsoft Wired Keyboard 200, USB, Black;Microsoft;0* ;0 ;;;540;;;;
