Всего позиций: 11584 ;;;;;;;;;;;
Артикул;Наименование;Производитель;Св.;Св.+Тр.;Б. Тр.;Цена*;Цена руб.**;Доп.;;;
Аксессуары и портативная электроника->Web-камеры;;;;;;;;;;;
J9794A#ABB;HP 1405-8G Switch (8 ports 10/100/1000, Unmanaged, fanless, desktop) (repl. for JD871A);HP;много ;много ;;41.08;;
S1700-8G-AC;Huawei S1700-8G-AC (8 Ethernet 10/100/1000 ports,AC110/220V,Europe Power Adapter);Huawei;0* ;0 ;;44.82;;
AT-FS708-XX;Allied Telesis 8x10/100Mbps Unmanaged Switch, rackmountable;Allied Telesis;много ;много ;;50;;
GS108E-300PES;NETGEAR 8-port 10/100/1000 Mbps ProSafe Plus switch with ext. p/s and Green features, managed via GUI (repl.GS108E-100PES);NETGEAR;0 ;много ;ПП;50.35;;
J9661A#ABB;HP 1410-8 Switch (8 ports 10/100, Fanless, Unmanaged, desktop) (repl. for JD856A);HP;много ;много ;;51.28;;
J9559A#ABB;HP 1410-8G Switch (8 ports 10/100/1000, Unmanaged, Fanless design, desktop);HP;много ;много ;;51.74;;
DGS-1016A/A1A;D-Link DGS-1016A/A1A, Layer 2 unmanaged Gigabit Switch, 8K MAC addresses;D-Link;1 ;1 ;;54.9;;НЗС
DGS-1016A/B1B;D-Link DGS-1016A/B1B, 16-port UTP 10/100/1000Mbps Auto-sensing, Stand-alone, Unmanaged;D-Link;много ;много ;;54.9;;
GS-108B;ZyXEL Восьмипортовый коммутатор Gigabit Ethernet;Zyxel;много ;много ;;55.62;;
GS108GE;NETGEAR 8-port 10/100/1000 Mbps switch with external power supply and Green features;NETGEAR;много ;много ;ПП;56.76;;
JFS516-200EUS;NETGEAR 16-port 10/100 Mbps switch with internal power supply (for rack-mount) (JFS516-200EUS);NETGEAR;много ;много ;ПП;58.36;;
AT-GS900/8E;Allied Telesis 8 port 10/100/1000TX unmanged switch with external power supply;Allied Telesis;много ;много ;ППЗ;60;;
FS116GE;NETGEAR 16 x 10/100 Port switch, external power supply;NETGEAR;много ;много ;;61.93;;
GS105PE-10000S;NETGEAR 5-port 10/100/1000 Mbps (2 PoE ports, 1 x PoE+PD), PoE budget up to 20W (repl.GS105PE-100EUS);NETGEAR;много ;много ;;62.64;;
JD858A#ABB;HP 1405-16 Desktop Switch (16 ports 10/100 RJ-45, Auto MDI/MDIX, Unmanaged);HP;много ;много ;;67.84;;
DES-1008FR/PRO/E;D-Link DES-1008FR/PRO, Unmanaged Standalone Switch, 7x10/100M + 1x100Base-FX SC Single-Mode, 20KM Fiber;D-Link;1 ;1 ;;67.88;;НЗС
S1700-24-AC;Huawei S1700-24-AC (24 Ethernet 10/100 ports,AC 110/220V);Huawei;0 ;0 ;;69.66;;
DES-1026G/E1A;D-Link DES-1026G/E1A, 24-port UTP 10/100Base-T + 2 Combo of 10/100/1000BASE-T/SFP;D-Link;много ;много ;;73.28;;
JFS524-200EUS;NETGEAR 24-port 10/100 Mbps switch with internal power supply (for rack-mount) (JFS524-200EUS);NETGEAR;0 ;0 ;ПП;74.08;;
DGS-1016D/G1B;D-Link DGS-1016D/G1B, 16-port UTP 10/100/1000Mbps Auto-sensing, Stand-alone, Unmanaged;D-Link;мало ;мало ;;78.75;;
AT-FS716L-XX;"Allied Telesis 16x10/100TX, Layer 2 Switch Unmanaged, 19"" rackmount hardware included";Allied Telesis;много ;много ;;80;;
FS108PEU;NETGEAR 8-port 10/100 Mbps (4 PoE ports) switch w ext. p/s, PoE budget up to 32W;NETGEAR;много ;много ;ПП;83.21;;
J9662A#ABB;HP 1410-16 Switch (16 ports 10/100, Fanless, Unmanaged, 19') (repl. for JD984A);HP;много ;много ;;85.18;;
AT-FS705EFC/SC-YY;Allied Telesyn | 4x10/100TX + 100FX(SC), Layer 2 Switch Unmanaged;Allied Telesis;много ;много ;;88;;
DGS-1024A/A1A;D-Link DGS-1024A/A1A, Layer 2 unmanaged Gigabit Switch, 16K MAC addresses;D-Link;много ;много ;;91.5;;
DGS-1008P/B1A;D-Link DGS-1008P/B1A, Layer 2 unmanaged Gigabit Switch with PoE and Green Ethernet power save technology;D-Link;много ;много ;;92.25;;
GS108PE-100EUS;NETGEAR 8-port 10/100/1000 Mbps (4 PoE ports) switch w ext. p/s, PoE budget up to 46W;NETGEAR;2 ;2 ;;99.53;;НЗС
DGS-1024D/G1B;D-Link DGS-1024D/G1B, 24-port UTP 10/100/1000Mbps Auto-sensing, Stand-alone, Unmanaged;D-Link;много ;много ;;100.5;;
AT-FS724L-XX;"Allied Telesis 24x10/100TX, Layer 2 Switch Unmanaged, 19"" rackmount hardware included";Allied Telesis;много ;много ;;108;;
AT-GS900/8-XX;"Allied Telesis 8x10/100/1000TX unmanged switch, 19"" rackmount hardware included";Allied Telesis;много ;много ;;110;;
J9663A#ABB;HP 1410-24 Switch (24 ports 10/100, Fanless, Unmanaged, 19') (repl. for JD986A);HP;0 ;0 ;;112.64;;
GS108PE-300EUS;NETGEAR 8-port 10/100/1000 Mbps (4 PoE ports) switch w ext. p/s, PoE budget up to 45W (repl.GS108PE-100EUS);NETGEAR;много ;много ;;123.09;;
GS116E-200PES;NETGEAR 16-port 10/100/1000 Mbps ProSafe Plus, ext. PS, Green features, managed via GUI'(repl.GS116E-100PES);NETGEAR;много ;много ;ПП;127.2;;
FS116PEU;NETGEAR 16-port 10/100 Mbps (8 PoE ports) switch w ext. p/s, PoE budget up to 55W;NETGEAR;0* ;2 ;ПП;135.72;;
GS116GE;NETGEAR 16-port 10/100/1000 Mbps switch with external power supply and Green features;NETGEAR;много ;много ;;149.63999999999999;;
J9560A#ABB;HP 1410-16G Switch (16 ports 10/100/1000, Fanless, Unmanaged, 19') (repl. for JD998A);HP;много ;много ;;154;;
JGS516PE-100EUS;"NETGEAR 16-port 10/100/1000 Mbps (8 PoE ports) switch w ext. p/s, PoE budget up to 85W (for 19"" rack)";NETGEAR;2 ;2 ;;155.71;;
DES-1050G/C1A;D-Link DES-1050G/C1A, 48-Port UTP 10/100BASE-T + 2 Combo of 10/100/1000BASE-T/SFP;D-Link;много ;много ;ОТСЗ;156.75;;
JD844A#ABB;HP 1405-16G Desktop Switch (16 ports 10/100/1000 RJ-45, Unmanaged);HP;много ;много ;;161.15;;
JGS524-200EUS;NETGEAR 24-port 10/100/1000 Mbps switch with internal power supply and Green features (for rack-mount);NETGEAR;много ;много ;ПП;164.22;;
J9664A#ABB;HP 1410-24-2G Switch (24 ports 10/100 + 2 10/100/1000, Fanless, Unmanaged, 19') (repl. for JD020A);HP;много ;много ;;173.09;;;;;
DES-1018P/A1A;D-Link DES-1018P/A1A, 8 Ports 10/100 Mbps PoE + 8 Ports 10/100 Mbps + 2 10/100/1000BASE-T/SFP Combo Ports Unmanaged Switch;D-Link;много ;много ;;177;;;;;
JGS516-200EUS;NETGEAR 16-port 10/100/1000 Mbps switch with internal power supply and Green features (for rack-mount);NETGEAR;много ;много ;;179.57;;;;;
JGS524E-200EUS;NETGEAR 24-port 10/100/1000 Mbps ProSafe Plus, internal PS, Green features, managed via GUI (for rack-mount)(repl.JGS524E-100EUS);NETGEAR;2 ;2 ;;186.31;;;;;
S1700-52R-2T2P-AC;Huawei S1700-52R-2T2P-AC Mainframe(48 FE RJ45,2 GE RJ45,2 GE SFP ,AC 110/220V);Huawei;0 ;0 ;;199.26;;;;;
J9561A#ABB;HP 1410-24G Switch (22 ports 10/100/1000 +2 10/100/1000 or 2Gbics ,Fanless, Unmanaged) (repl. for JD022A);HP;много ;много ;;212.08;;;;;
AT-FS717FC/SC-XX;Allied Telesis 16x10/100Mbps + 100FX (SC) Port unmanaged switch, internal power supply;Allied Telesis;много ;много ;ППЗ;220;;;;;
AT-GS900/16-XX;"Allied Telesis 16x10/100/1000TX unmanged switch, 19"" rackmount hardware included";Allied Telesis;много ;много ;;220;;;;;
AT-FS708/POE-50;Allied Telesis 8 port 10/100 unmanaged POE switch with 1 SFP uplink;Allied Telesis;много ;много ;ППЗ;220;;;;;
S1724G-AC;Huawei S1724G Mainframe(24 GE RJ45,AC 110/220V);Huawei;0 ;0 ;;223.02;;;;;
JGS524PE-100EUS;"NETGEAR 24-port 10/100/1000 Mbps (12 PoE ports) switch w ext. p/s, PoE budget up to 100W (for 19"" rack)";NETGEAR;0 ;0 ;ПП;226.2;;;;;
DES-1018MP/A1A;D-Link DES-1018MP/A1A, 16 Ports 10/100 Mbps PoE + 2 10/100/1000BASE-T/SFP Combo Ports Unmanaged Switch;D-Link;0 ;0 ;;242.25;;;;;
AT-GS900/8PS-50;Allied Telesis Unmanaged Gigabit PoE+ Switch with 8 x 10/100/1000T ports and 1 x 1G SFP uplink;Allied Telesis;много ;много ;;297.44;;;;;
AT-GS900/24-XX;"Allied Telesis 24x10/100/1000TX unmanged switch, 19"" rackmount hardware included";Allied Telesis;много ;много ;;300;;;;;
Сетевое оборудование->Локальные сети->Опции для коммутаторов;;;;;;;;;;;
JD324B;HP 3600 Switch SFP Stacking Kit;HP;4 ;4 ;;10.8;;НЗС;;;
DKT-200/A1A;D-Link DKT-200/A1A, Gigabit PoE Injector;D-Link;много ;много ;;20.93;;
DKT-50/A1A;D-Link DKT-50/A1A, Gigabit PoE Splitter;D-Link;много ;много ;;21.75;;
DEM-CB100S;D-Link DEM-CB100S, 10-GbE SFP+ 1m Direct Attach Cable;D-Link;5 ;5 ;;34.200000000000003;;НЗС
LS6MCABLE001;Huawei SFP+ Stacking Cable (100cm,including two Stacking module);Huawei;2 ;2 ;;34.799999999999997;;НЗС
DEM-CB300S;D-Link DEM-CB300S, 10-GbE SFP+ 3m Direct Attach Cable;D-Link;0 ;0 ;;39.9;;НЗС
DEM-CB300CX;D-Link DEM-CB300CX, Cable, 3m, 10GE-CX5;D-Link;2 ;2 ;;55.31;;НЗС
J9407B#ABB;HP 1-port Power Injector (repl. for J9407A, JD059B, JD438B);HP;много ;много ;;72.28;;
DEM-CB100;D-Link DEM-CB100, 10G stacking cable for project X Switch(1m)Кабель стековый 10Giga, 1м;D-Link;2 ;2 ;;75.75;;НЗС
LS2MCABLE000;Huawei SFP Stacking Cable (150cm,including two Stacking module);Huawei;0 ;0 ;;80;;НЗС
AXC761-10000S;NETGEAR 1m SFP+ Direct attach cable;NETGEAR;0 ;0 ;ПП;89.79;;
AXC763-10000S;NETGEAR 3m SFP+ Direct attach cable;NETGEAR;1 ;4 ;ПП;142.16;;
AFT200-10000S;NETGEAR Spare fan module with 2 fans for XSM7224S;NETGEAR;2 ;2 ;;142.16;;
00AR088;5m Fiber Cable (LC);IBM;много ;много ;;149;;НЗС
J9281B;HP X242 10G SFP+ SFP+ 1m DAC Cable;HP;много ;много ;;149.43;;
J9734A;HP 2920 0.5m Stacking Cable;HP;много ;много ;;154.97;;
GS716TAV-10000S;NETGEAR Software licence upgrage to Ethernet Audio Video Bridging for GS716T;NETGEAR;0 ;0 ;;160.86000000000001;;
AT-2931SX/SC-001;Allied Telesis Gigabit Ethernet Fiber Adapter, 1000-Base-SX (SC), 64-bit PCI, Single Pack;Allied Telesis;много ;много ;;166.38;;НЗС
JD095C;HP X240 10G SFP+ SFP+ 0.65m DAC Cable (repl. for JD095B);HP;много ;много ;;187.34;;
JD096C;HP X240 10G SFP+ SFP+ 1.2m DAC Cable (repl. for JD096B);HP;много ;много ;;199.39;;
J9735A;HP 2920 1.0m Stacking Cable;HP;1 ;1 ;;204.78;;
J9283B;HP X242 10G SFP+ SFP+ 3m DAC Cable;HP;много ;много ;;210.31;;
JD363B;HP X230 Local Connect 50cm CX4 Cable (repl. for JE054A);HP;много ;много ;;210.51;;
ES5D000G4S00;Huawei 4-Port GE SFP Optical Interface Card(Used In 5700 EI Series)(Including 4-Port GE SFP Optical Interface Card,Extend Channel Card);Huawei;2 ;2 ;;225;;
ES5D00G4SA00;Huawei 4-Port GE SFP Optical Interface Card(Used In 5700 SI Series)(Including 4-Port GE SFP Optical Interface Card,Extend Channel Card);Huawei;3 ;3 ;;225;;
JD364B;HP X230 Local Connect 100cm CX4 Cable (repl. for JE055A);HP;много ;много ;;232.46;;М
JD097C;HP X240 10G SFP+ SFP+ 3m DAC Cable (repl. for JD097B);HP;много ;много ;;266.17;;
J9285B;HP X242 10G SFP+ SFP+ 7m DAC Cable;HP;много ;много ;;285.57;;
AX743-10000S;NETGEAR 10G switch module for SFP+ (suitable for GSM73xxS/Sv2 and GSM7328FS);NETGEAR;0 ;0 ;;291.8;;
AX742;NETGEAR 24G stacking kit, includes 2 modules and 60cm cable (for GSM73xxS and GSM7328FS);NETGEAR;2 ;2 ;;291.8;;
JD365A;HP X230 CX4 CX4 3m Cable (repl. for JE056A);HP;много ;много ;;293.06;;
J9736A;HP 2920 3.0m Stacking Cable;HP;1 ;1 ;;299.27;;
JG081C;HP X240 10G SFP+ SFP+ 5m DAC Cable (repl. for JG081B);HP;много ;много ;;305.11;;
AX745-10000S;NETGEAR 10GBASE-T MODULE FOR GSM7S SERIES;NETGEAR;0 ;0 ;;314.25;;
W2PSA0800;Huawei 800W AC Power Module(Black);Huawei;0 ;0 ;;316.10000000000002;;
JD360B;HP 5500 2-port 10GbE Local Connect Mod (repl. for JE051A);HP;много ;много ;;316.55;;М
JD362A#ABB;HP 5500 150WAC Power Supply;HP;1 ;1 ;;384.07;;
JC087A#ABB;HP 5800 300W AC Power Supply;HP;0 ;0 ;;414.35;;
APS300W-10000S;NETGEAR Spare 300W PSU for XSM7224S;NETGEAR;2 ;2 ;;486.33;;
OMXD30000;Huawei Optical Transceiver,SFP+,10G,Multi-mode Module(850nm,0.3km,LC);Huawei;0 ;0 ;;490.1;;
GSM7228PL-10000S;NETGEAR Software licence upgrage to IPv4/IPv6 and IP multicast routing for GSM7228PS;NETGEAR;0 ;0 ;;493.81;;
GSM7328FL-10000S;NETGEAR Software licence upgrage to IPv6 and IP multicast routing for GSM7328FS;NETGEAR;0 ;0 ;;493.81;;
G7328SIP6-10000S;NETGEAR Software licence upgrage to IPv6 and IP multicast routing for GSM7328Sv1;NETGEAR;0 ;0 ;;493.81;;
ES5D001VST00;Huawei Ethernet B6 Interface Card(Including Stack Card,100cm Stack Cable);Huawei;0 ;много ;;625;;
RPS5412-100EUS;NETGEAR Optimal Power 1U RPS with up to 300W of rated power output, compatible with FSM72xxRS, FSM73xxPS, GSM72xx-200 и GSM73xx swithces;NETGEAR;0 ;0 ;;710.79;;
AXC753-10000S;NETGEAR 3m SFP+ Direct attach cable (1 SFP+ and 1 XFP connectors);NETGEAR;0 ;0 ;;740.72;;
APS1000W-100NES;NETGEAR 1000W POWER BRICK FOR RPS4000;NETGEAR;0 ;0 ;;740.72;;
J8712A#ABB;HP 875W zl Power Supply;HP;2 ;2 ;;772.79;;
WC7510L-10000S;NETGEAR Additional 10 AP license for wireless controller WC7520 (up to 3 licenses per controller);NETGEAR;0 ;0 ;;790.1;;
J9731A;HP 2920 2-Port 10GbE SFP+ Module;HP;много ;много ;;823.61;;
J9732A;HP 2920 2-Port 10GbT Module;HP;много ;много ;;823.61;;
ES5D000X2S00;Huawei 2-Port 10GE SFP+ Optical Interface Card;Huawei;0 ;0 ;;825;;
JD368B;HP 5500/5120 2-port 10GbE SFP+ Module;HP;много ;много ;;847.02;;
J9733A;HP 2920 2-Port Stacking Module;HP;много ;много ;;887.33;;
G7352SIP6-10000S;NETGEAR Software licence upgrage to IPv6 and IP multicast routing for GSM7352Sv1;NETGEAR;0 ;0 ;;935.25;;
GSM7252PL-10000S;NETGEAR Software licence upgrage to IPv4/IPv6 and IP multicast routing for GSM7252PS;NETGEAR;0 ;0 ;;935.25;;
RPS4000-100NES;NETGEAR RPS UNIT 1U AND 4 EMPTY SLOTS;NETGEAR;0 ;0 ;;965.18;;
J9306A#ABB;HP 1500W PoE+ zl Power Supply;HP;2 ;2 ;;978.77;;
J9008A;HP 2-port 10GbE SFP+ al Module;HP;много ;много ;;1085.1400000000001;;
XSM7224L-10000S;NETGEAR Software licence upgrade to L3 functions for XSM7224S;NETGEAR;0 ;0 ;;1122.3;;
ES5D21X02S00;Huawei 2-Port GE SFP or 10GE SFP+ Optical Interface Card (Used In S5710 EI Series);Huawei;6 ;6 ;;1250;;НЗС
OSX010000;Huawei Optical Transceiver,SFP+,10G,Single-mode Module(1310nm,10km,LC);Huawei;2 ;2 ;;1319.5;;
J9547A;HP 24-port 10/100 PoE+ v2 zl Module;HP;0 ;0 ;;2238.34;;
J9550A;HP 24-port Gig-T v2 zl Module;HP;много ;много ;;2295.41;;
J9549A;HP 20-port Gig-T / 4-port SFP v2 zl Mod;HP;1 ;1 ;;2860.6;;
J9537A;HP 24-port SFP v2 zl Module;HP;много ;много ;;3128.16;;;;;
J9534A;HP 24-port Gig-T PoE+ v2 zl Module;HP;0 ;0 ;;3138.38;;;;;
J9535A;HP 20-port GT PoE+/4-port SFP v2 zl Mod;HP;0 ;0 ;;3251.19;;;;;
J9637A;HP 12p Gig-T PoE+/12p SFP v2 zl Mod;HP;0 ;0 ;;3312.39;;;;;
J9538A;HP 8-port 10-GbE SFP+ v2 zl Module;HP;0 ;0 ;;4376.04;;;;;
QW939A#ABB;SN3000B Redundant Power Supply ( for QW938A / QW937A);HP;0 ;0 ;;4520.7;;;;;
XCM88ASL-10000S;NETGEAR Software licence upgrage to advanced core features of 8800 series;NETGEAR;0 ;0 ;;7107.9;;;;;
Сетевое оборудование->Локальные сети->Опции к конверторам;;;;;;;;;;;
DMC-1001/A3A;D-Link DMC-1001/A3A, Redundant Power Supply of DMC Chassis Based Media Converter;D-Link;много ;много ;;126;;;;;
AT-PWR4-XX;Allied Telesis Redundant power supply for AT-MCR12 media converter rackmount chassis;Allied Telesis;много ;много ;;169;;;;;
AT-MCR12-XX;Allied Telesis 12-slot media converter rack-mount chassis with a removable internal universal power supply, Rack Mount Kit;Allied Telesis;много ;много ;;387;;;;;
Сетевое оборудование->Локальные сети->Опции к маршрутизаторам;;;;;;;;;;;
LAR0DATAE02;Huawei AR1200 Value-Added Data Package;Huawei;1 ;1 ;;290;;НЗС;;;
AR0MDF03A000;Huawei Fan Box For AR3260;Huawei;0 ;0 ;;317.5;;;;;
AR0MSDE11A00;Huawei 1-Port Fractional Channelized E1/T1 WAN Interface Card;Huawei;2 ;2 ;;450;;;;;
AR0MSVA4B1A0;Huawei 4-Port FXS and 1-Port FXO Voice Interface Card;Huawei;много ;много ;;450;;;;;
AR-6EM-W;Huawei 6-Port EM(RJ45) Interface Card;Huawei;0 ;0 ;;660;;НЗС;;;
Сетевое оборудование->Локальные сети->Сетевые карты;;;;;;;;;;;
DFE-520TX;D-Link DFE-520TX, PCI, 10/100Mbps Fast Ethernet NIC, supports 802.3x (OEM);D-Link;много ;много ;;4.5;;;;;
TEG-PCITXR;TRENDNET TEG-PCITXR, Gigabit PCI Adapter;TRENDnet;78 ;78 ;;5;;НЗС;;;
TEG-ECSX;TRENDNET TEG-ECSX, Gigabit Fiber PCI Express Adapter;TRENDnet;1 ;1 ;;5;;НЗС;;;
DGE-528T;D-Link DGE-528T, PCI, 10/100/1000Mbps Gigabit Ethernet UTP NIC, 32-bit (OEM);D-Link;1 ;1 ;;7.73;;;;;
DGE-530T/D2B;D-Link DGE-530T/D2B, Gigabit Ethernet NIC;D-Link;много ;много ;;9.15;;;;;
DGE-560T;D-Link DGE-560T, PCI Express, Gigabit Network Adapter, 1000 Base-T, UTP (OEM);D-Link;много ;много ;;11.18;;;;;
DWA-525/B1A;D-Link DWA-525/B1A, Wireless N 150 PCI Express Desktop Adapter (802.11n);D-Link;много ;много ;;11.18;;;;;
DUB-E100/B/C1A;D-Link DUB-E100/B/C1A, USB 2.0 Fast Ethernet Adapter;D-Link;0 ;много ;14.02.2015(ОТС);14.4;;;;;
GN680-T;ZyXEL PCI-адаптер Gigabit Ethernet;Zyxel;мало ;много ;02.03.2015(ОП);18.55;;;;;
AT-2701FXA/SC-001;"Allied Telesis 32 bit 100Mbps Fast Ethernet Fiber Adapter Card; SC connector; includes both standard and low profile brackets; Single pack (repl. for AT-2701FX/SC)";Allied Telesis;много ;много ;;113.52;;;;;
AT-2711FX/SC-001;"Allied Telesis 100Mbps Fast Ethernet PCI-Express Fiber Adapter Card; SC connector, includes both standard and low profile brackets, Single pack";Allied Telesis;0 ;много ;;129;;;;;
AT-2972SX-001;Allied Telesis PCI-Express (PCIe) 1000SX MMF LC adapter card;Allied Telesis;много ;много ;;367;;;;;
Сетевое оборудование->Локальные сети->Трансиверы;;;;;;;;;;;
DEM-302S-LX;D-Link DEM-302S-LX, 1-port mini-GBIC 1000Base-LX SMF SFP Tranceiver;D-Link;0 ;0 ;;16.43;;;;;
DEM-210;D-Link DEM-210, Single-Mode SFP Transceiver, 1x100BASE-FX, up to 15km;D-Link;0 ;0 ;;17.63;;НЗС
DEM-220R;D-Link DEM-220R, 100Base-BX-U Single-Mode 20KM SFP Transceiver (TX-1310/RX-1550 nm);D-Link;0 ;0 ;;17.63;;НЗС
DEM-220T;D-Link DEM-220T, 100Base-BX-D Single-Mode 20KM SFP Transceiver (TX-1550/RX-1310 nm);D-Link;0 ;0 ;;20.399999999999999;;НЗС
DEM-330R;D-Link DEM-330R, 1-port mini-GBIC 1000Base-LX SMF WDM SFP Tranceiver (up to 10km, support 3.3V power, LC connector);D-Link;много ;много ;;21.08;;
DEM-311GT;D-Link DEM-311GT, 1-port mini-GBIC SX Multi-mode Fiber Transceiver, (550m, 3.3V);D-Link;0* ;0 ;;21.75;;
DEM-310GT;D-Link DEM-310GT, 1-port mini-GBIC LX Single-mode Fiber Transceiver (10km, 3.3V);D-Link;много ;много ;;21.75;;
DEM-302S-BXU;D-Link DEM-302S-BXU, 1-port mini-GBIC 1000Base-BX SMF WDM (Bi-Directional) (up to 2km, single mode) TX: 1310nm, RX: 1550nm;D-Link;2 ;2 ;;28.73;;
SFP-SX;ZyXEL SFP-трансивер с многомодовым оптическим портом SX на расстояние до 550 м;Zyxel;много ;много ;02.03.2015(ОП);29;;
SFP-10G-CU1M;Huawei SFP+,10G,High Speed Direct-attach Cables,1m,SFP+20M,CC8P0.254B(S),SFP+20M,Used indoor;Huawei;1 ;1 ;;29;;
SFP-LX-10;ZyXEL SFP-трансивер с одномодовым оптическим портом LX на расстояние до 10 км;Zyxel;много ;много ;;30;;
DEM-302S-BXD;D-Link DEM-302S-BXD, 1-port mini-GBIC 1000Base-BX SMF WDM (Bi-Directional) (up to 2km, single mode) TX: 1550nm, RX: 1310nm;D-Link;много ;много ;;30.15;;
SFP-10G-CU3M;Huawei SFP+,10G,High Speed Direct-attach Cables,3m,SFP+20M,CC8P0.254B(S),SFP+20M,Used indoor;Huawei;1 ;1 ;24.02.2015(ОП);36;;НЗС
DEM-330T;D-Link DEM-330T, 1-port mini-GBIC 1000Base-LX SMF WDM SFP Tranceiver (up to 10km, support 3.3V power, LC connector);D-Link;много ;много ;;37.35;;
DGS-712/D1A;D-Link DGS-712/D1A, 1 port mini-GBIC 1000BASE-T Copper transceiver (up to 100m, support 3.3V power);D-Link;0 ;много ;14.02.2015(ОТС);38.03;;
SFP-BX1310-10;ZyXEL SFP-BX1310-10 Одноволоконный SFP-трансивер BX 1310 нм для одномодового оптоволоконного кабеля на расстояние до 10 км;Zyxel;много ;много ;;41;;
SFP-BX1490-10;ZyXEL SFP-BX1490-10 Одноволоконный SFP-трансивер BX 1490 нм для одномодового оптоволоконного кабеля на расстояние до 10 км;Zyxel;много ;много ;;60;;
SFP-GE-LX-SM1310;Huawei Optical Transceiver,eSFP,GE,Single-mode Module(1310nm,10km,LC);Huawei;много ;много ;;75;;
AGM731F;NETGEAR 1000Base-SX Fibre SFP GBIC Module for NETGEAR GSM7312, GSM7324, GSM7224, GS724T, GS748T, FSM7326P;NETGEAR;14 ;14 ;;77.41;;
AT-SPFX/2;Allied Telesis 100BaseFX, 2km 1310nm, Multi-mode fibre;Allied Telesis;0 ;много ;ППЗ;80;;
DEM-312GT2;D-Link DEM-312GT2, 1-port mini-GBIC LX Multi-mode Fiber Transceiver (2km, 3.3V);D-Link;много ;много ;;81.45;;
ESFP-850NM-1000BASE-SX/FC200 MM;Huawei Optical Transceiver,eSFP,850nm,2.125Gb/s(Multi rate) ,-9.5~-2.5dBm,-17dBm,LC,MM,0.5km;Huawei;0 ;0 ;;110;;НЗС
AGM734-10000S;NETGEAR Optical module 1000Base-T SFP, RJ-45 connector;NETGEAR;0 ;0 ;ПП;110.95;;
AT-SPFX/15;Allied Telesis 100BaseFX, 15km 1310nm, Single-mode fibre;Allied Telesis;0 ;много ;ППЗ;120;;
ESFP-GE-SX-MM850;Huawei Optical Transceiver,eSFP,GE,Multi-mode Module(850nm,0.5km,LC);Huawei;0* ;0 ;;123.25;;
AGM732F;NETGEAR 1000Base-LX Fibre SFP GBIC Module for NETGEAR GSM7312, GSM7324, GSM7224, GS724T, GS748T , FSM7326P;NETGEAR;35 ;35 ;;129;;
AT-SPSX;Allied Telesis 1000Base-SX Small Form Pluggable - Hot Swappable, 500m 850nm;Allied Telesis;0 ;много ;ПП;140;;
DEM-431XT;D-Link DEM-431XT, 10GBASE-SR SFP+ Transceiver (w/o DDM), 3.3V;D-Link;0 ;0 ;;142.5;;НЗС
SFP-1000BASET;Huawei Electrical Transceiver,SFP,GE,Electrical Interface Module(100m,RJ45);Huawei;0* ;0 ;;152.25;;
DEM-315GT;D-Link DEM-315GT, 1-port mini-GBIC ZX Single-mode Fiber Transceiver (80km, 3.3V);D-Link;много ;много ;;160.46;;
J4858C;HP X121 1G SFP LC SX Transceiver;HP;много ;много ;;210.46;;
J8177C;HP X121 1G SFP RJ45 T Transceiver;HP;2 ;2 ;;216.86;;
DEM-432XT;D-Link DEM-432XT, Optical Transceiver, 10GBASE-ER 10Gigabit Ethernet XFP Optical Transceiver, 40km;D-Link;0 ;0 ;;217.5;;НЗС
AT-SPTX;Allied Telesis 10/100/1000T Copper SFP port,100m;Allied Telesis;много ;много ;;220;;
JD102B;HP X115 100M SFP LC FX Transceiver;HP;много ;много ;;221.83;;
J9054C;HP X111 100M SFP LC FX Transceiver (repl. for J9054B);HP;много ;много ;;241.56;;
DEM-422XT;D-Link DEM-422XT, Optical Transceiver, 10GBASE-LR XFP, support link spans up to 10Km with single mode fiber;D-Link;0 ;0 ;;244.5;;НЗС
JD089B;HP X120 1G SFP RJ45 T Transceiver;HP;много ;много ;;319.73;;
AT-SPEX;Allied Telesis 2km, MMF, 1000Base SFP - hot swappable;Allied Telesis;много ;много ;;320;;
J4859C;HP X121 1G SFP LC LX Transceiver;HP;много ;много ;;360.94;;
JD118B;HP X120 1G SFP LC SX Transceiver (repl. for JD493A);HP;много ;много ;28.02.2015(ОП);389.98;;
AT-SPLX10;Allied Telesis 1000Base-LX Small Form Pluggable - Hot Swappable, 10KM 1310nm;Allied Telesis;много ;много ;;390;;
AT-SPBD10-13;Allied Telesis 10KM Bi-Directional GbE SMF SFP 1310Tx/1490Rx - Hot Swappable;Allied Telesis;много ;много ;;462.69;;
AT-SPBD10-14;Allied Telesis 10KM Bi-Directional GbE SMF SFP 1490Tx/1310Rx - Hot Swappable;Allied Telesis;много ;много ;;475;;
AXM761-10000S (OEM);NETGEAR Optical module 10GBase-SR SFP+ (up to 300m), multimode cable, LC connector OEM;NETGEAR;1 ;1 ;;486.3;;
AXM763-10000S;NETGEAR Optical module 10GBase-LRM SFP+ (up to 220m), multimode cable, LC connector;NETGEAR;0 ;0 ;;486.33;;
AXM761-10000S;NETGEAR Optical module 10GBase-SR SFP+ (up to 300m), multimode cable, LC connector;NETGEAR;0 ;0 ;;486.33;;
SFP-GE-LX-SM1310-BIDI;Huawei Optical Transceiver,eSFP,GE,BIDI Single-mode Module(TX1310/RX1490,10km,LC);Huawei;2 ;2 ;;522;;
